Rank	Hole	Wins	Ties	Total
1	AA	84.97	 0.57	85.54
2	KK	82.10	 0.58	82.68
3	QQ	79.63	 0.61	80.24
4	JJ	77.16	 0.65	77.81
5	TT	74.66	 0.72	75.38
6	99	71.69	 0.80	72.49
7	88	68.72	 0.91	69.63
8	KAs	65.28	 2.66	67.94
9	QAs	64.41	 2.78	67.19
10	77	65.72	 1.04	66.76
11	JAs	63.55	 2.95	66.50
12	KA	63.49	 2.75	66.24
13	TAs	62.66	 3.18	65.84
14	QA	62.57	 2.87	65.44
15	JA	61.63	 3.06	64.69
16	QKs	61.58	 2.97	64.55
17	9As	60.68	 3.49	64.17
18	TA	60.70	 3.29	63.99
19	JKs	60.69	 3.14	63.83
20	66	62.58	 1.18	63.76
21	8As	59.72	 3.79	63.51
22	TKs	59.82	 3.34	63.16
23	7As	58.61	 4.11	62.72
24	QK	59.58	 3.07	62.65
25	9A	58.60	 3.61	62.21
26	5As	57.31	 4.61	61.92
27	JK	58.64	 3.25	61.89
28	JQs	58.43	 3.31	61.74
29	6As	57.26	 4.36	61.62
30	9Ks	57.89	 3.64	61.53
31	8A	57.54	 3.96	61.50
32	TK	57.72	 3.47	61.19
33	TQs	57.56	 3.51	61.07
34	4As	56.38	 4.69	61.07
35	55	59.65	 1.38	61.03
36	7A	56.36	 4.30	60.66
37	3As	55.60	 4.67	60.27
38	8Ks	56.08	 3.96	60.04
39	5A	54.94	 4.84	59.78
40	JQ	56.25	 3.43	59.68
41	6A	54.91	 4.58	59.49
42	2As	54.84	 4.63	59.47
43	7Ks	55.13	 4.30	59.43
44	9K	55.64	 3.78	59.42
45	9Qs	55.62	 3.79	59.41
46	TJs	55.67	 3.64	59.31
47	TQ	55.31	 3.65	58.96
48	4A	53.95	 4.92	58.87
49	6Ks	53.98	 4.58	58.56
50	3A	53.08	 4.91	57.99
51	5Ks	53.15	 4.82	57.97
52	8Qs	53.85	 4.10	57.95
53	8K	53.68	 4.14	57.82
54	44	56.26	 1.55	57.81
55	9Js	53.65	 3.99	57.64
56	9Q	53.25	 3.95	57.20
57	7K	52.68	 4.49	57.17
58	2A	52.24	 4.90	57.14
59	TJ	53.34	 3.78	57.12
60	4Ks	52.20	 4.89	57.09
61	7Qs	51.96	 4.45	56.41
62	3Ks	51.39	 4.88	56.27
63	6K	51.44	 4.80	56.24
64	9Ts	52.05	 4.15	56.20
65	8Js	51.87	 4.28	56.15
66	6Qs	51.02	 4.76	55.78
67	8Q	51.34	 4.28	55.62
68	5K	50.54	 5.06	55.60
69	2Ks	50.58	 4.85	55.43
70	9J	51.16	 4.14	55.30
71	5Qs	50.18	 5.00	55.18
72	8Ts	50.21	 4.49	54.70
73	4K	49.51	 5.15	54.66
74	7Js	50.01	 4.61	54.62
75	33	52.84	 1.73	54.57
76	4Qs	49.23	 5.07	54.30
77	7Q	49.32	 4.66	53.98
78	9T	49.47	 4.32	53.79
79	3K	48.61	 5.13	53.74
80	8J	49.25	 4.46	53.71
81	3Qs	48.41	 5.05	53.46
82	89s	48.63	 4.71	53.34
83	6Q	48.29	 4.98	53.27
84	7Ts	48.35	 4.82	53.17
85	6Js	48.03	 4.94	52.97
86	2K	47.73	 5.11	52.84
87	5Q	47.39	 5.25	52.64
88	5Js	47.41	 5.20	52.61
89	2Qs	47.56	 5.02	52.58
90	8T	47.49	 4.68	52.17
91	7J	47.28	 4.82	52.10
92	79s	46.78	 5.07	51.85
93	4Js	46.45	 5.27	51.72
94	4Q	46.36	 5.33	51.69
95	6Ts	46.39	 5.12	51.51
96	22	49.41	 1.91	51.32
97	3Js	45.62	 5.25	50.87
98	78s	45.57	 5.29	50.86
99	3Q	45.46	 5.32	50.78
100	89	45.85	 4.91	50.76
101	7T	45.51	 5.03	50.54
102	6J	45.16	 5.17	50.33
103	69s	44.85	 5.36	50.21
104	5Ts	44.65	 5.40	50.05
105	2Js	44.79	 5.23	50.02
106	5J	44.47	 5.46	49.93
107	2Q	44.56	 5.30	49.86
108	4Ts	43.91	 5.49	49.40
109	68s	43.58	 5.64	49.22
110	79	43.87	 5.30	49.17
111	4J	43.43	 5.55	48.98
112	6T	43.42	 5.37	48.79
113	59s	43.14	 5.63	48.77
114	3Ts	43.08	 5.46	48.54
115	67s	42.60	 5.85	48.45
116	78	42.58	 5.54	48.12
117	3J	42.54	 5.52	48.06
118	58s	41.87	 5.90	47.77
119	2Ts	42.24	 5.44	47.68
120	69	41.78	 5.62	47.40
121	5T	41.54	 5.67	47.21
122	2J	41.65	 5.50	47.15
123	57s	40.93	 6.15	47.08
124	49s	41.22	 5.73	46.95
125	4T	40.75	 5.78	46.53
