,model_raise,model_check,model_fold,mcts_raise,mcts_check,mcts_fold
0,0.51,0.44,0.05,0.3745658795322038,0.3091435243499313,0.3162905961178649
1,0.46,0.47,0.07,0.22303275324729435,0.19316300937050293,0.5838042373822028
2,0.58,0.36,0.06,0.24669192634501663,0.2467442162213365,0.5065638574336468
3,0.53,0.35,0.12,0.30759883595884335,0.5211510812915241,0.17125008274963244
4,0.51,0.38,0.11,0.44801403931924394,0.3021155680256628,0.24987039265509323
5,0.8,0.2,0.0,0.17004120117949334,0.13615610073325923,0.6938026980872474
6,0.51,0.31,0.18,0.4280987043364035,0.4008868329924472,0.1710144626711494
7,0.82,0.18,0.0,0.2603321385132409,0.6582561140801982,0.08141174740656093
8,0.5,0.46,0.04,0.4787543283015388,0.10273091318465001,0.4185147585138111
9,0.7609999999999999,0.209,0.03,0.2627991018826698,0.207533402589564,0.5296674955277662
10,0.55,0.43,0.02,0.30917596978309464,0.42941144600815057,0.26141258420875485
11,0.54,0.34,0.12,0.5214583889025789,0.29861905190819965,0.17992255918922156
12,0.7609999999999999,0.209,0.03,0.2078245570924808,0.18733962020431294,0.6048358227032061
13,0.7566666666666667,0.21333333333333335,0.03,0.2810315061404669,0.07816922996535962,0.6407992638941736
14,0.6,0.305,0.095,0.29337294777386924,0.46299778018812376,0.24362927203800702
15,0.56,0.32,0.12,0.35192535919306134,0.3332416437256048,0.31483299708133394
16,0.91,0.06,0.03,0.2398881776442441,0.23026740068426182,0.5298444216714941
17,0.58,0.335,0.085,0.4318899941336876,0.34487366585917956,0.22323634000713286
18,0.6941666666666666,0.23583333333333337,0.07,0.4331698956201901,0.33309358083998925,0.23373652353982072
19,0.49,0.51,0.0,0.3417869566004857,0.30046401850605586,0.35774902489345844
20,0.54,0.33,0.13,0.3352709045674191,0.33543078596166764,0.3292983094709133
21,0.41,0.4,0.19,0.34722266996160744,0.32763161579781314,0.3251457142405794
22,0.41,0.4,0.19,0.0,0.10814708831901268,0.8918529116809873
23,0.6566666666666666,0.31333333333333335,0.03,0.46369762455362357,0.35417022097288214,0.18213215447349423
24,0.81,0.19,0.0,0.16009658943017968,0.14129905650824548,0.698604354061575
25,0.54,0.34,0.12,0.34389699710446286,0.3267245901314802,0.32937841276405694
26,0.73,0.26,0.01,0.44874626101311066,0.408570386772296,0.1426833522145932
27,0.87,0.1,0.03,0.3456046461005541,0.3091452169883499,0.3452501369110961
28,0.7433333333333333,0.25666666666666665,0.0,0.36143265144671805,0.33793086941990397,0.30063647913337793
29,0.7263095238095238,0.2536904761904762,0.02,0.8522076139213,0.0,0.1477923860787
30,0.62,0.24,0.14,0.30783093437782433,0.344669587691102,0.34749947793107366
31,0.56,0.39,0.05,0.23601841558783698,0.16999988179879474,0.5939817026133684
32,0.54,0.39,0.07,0.36224922564696777,0.27678019789146446,0.3609705764615678
33,0.78,0.15,0.07,0.22026581811286747,0.1937205372746582,0.5860136446124742
34,0.54,0.39,0.07,0.21907429698803968,0.24410768080437903,0.5368180222075812
