,model_raise,model_check,model_fold,mcts_raise,mcts_check,mcts_fold
0,0.51,0.44,0.05,0.4544002365531859,0.2140502281592272,0.3315495352875869
1,0.46,0.47,0.07,0.42043758353143246,0.19353618856698793,0.3860262279015796
2,0.58,0.36,0.06,0.22108315849747873,0.27178644365365984,0.5071303978488615
3,0.53,0.35,0.12,0.4185211924511146,0.20815971298469227,0.3733190945641931
4,0.79,0.14,0.07,0.34028288105997434,0.34276448838241924,0.3169526305576065
5,0.52,0.48,0.0,0.16262133860807013,0.19702649402671926,0.6403521673652107
6,0.51,0.31,0.18,0.6266306214714211,0.0998948185152639,0.27347456001331494
7,0.82,0.18,0.0,0.2980391051143428,0.45591166665862204,0.24604922822703518
8,0.5,0.46,0.04,0.41445028569153897,0.29724518856456494,0.288304525743896
9,0.7609999999999999,0.209,0.03,0.14630778201718384,0.6934870363136413,0.16020518166917494
10,0.6086666666666667,0.3783333333333333,0.013000000000000001,0.21383229154004318,0.06998190773396581,0.716185800725991
11,0.79,0.2,0.01,0.4456114282916061,0.3739507492088623,0.1804378224995316
12,0.75,0.22,0.03,0.2466038018908957,0.20727626396518267,0.5461199341439217
13,0.816,0.154,0.03,0.3750600071718724,0.2939797802906655,0.3309602125374621
14,0.7343333333333334,0.26566666666666666,0.0,0.4242573920653817,0.4134409657866363,0.16230164214798193
15,0.84,0.13,0.03,0.36400825580369095,0.3254146766969924,0.3105770674993166
16,0.6166666666666667,0.24333333333333332,0.14,0.5839515245427116,0.0,0.41604847545728835
17,0.6166666666666667,0.24333333333333332,0.14,0.0,0.0521850614914632,0.9478149385085368
18,0.55,0.33,0.12,0.2780583559573072,0.4577839981312141,0.26415764591147883
19,0.6,0.305,0.095,0.32449094622139046,0.35132811258082286,0.32418094119778673
20,0.56,0.32,0.12,0.17729730245646086,0.19711200150133365,0.6255906960422055
21,0.59,0.35,0.06,0.34430182760651323,0.3344452471248015,0.32125292526868526
22,0.8578571428571429,0.08214285714285713,0.06,0.4057297027646365,0.31253736721007275,0.2817329300252907
23,0.7733333333333334,0.19666666666666666,0.03,0.35086690561051176,0.31803585847149896,0.3310972359179893
24,0.49,0.51,0.0,0.31926916084801465,0.4460088631660854,0.2347219759859
25,0.56,0.43,0.01,0.379340473934314,0.3437308460203415,0.27692868004534443
26,0.56,0.43,0.01,0.21587562204143051,0.041540597671878524,0.742583780286691
27,0.54,0.33,0.13,0.2185053029382863,0.25834394345110623,0.5231507536106075
28,0.5833333333333334,0.36666666666666664,0.05,0.3092305806154107,0.33348464311800724,0.35728477626658206
29,0.81,0.16,0.03,0.3184332957337633,0.445300176857995,0.2362665274082418
30,0.54,0.43,0.03,0.439324018966536,0.23212700105914738,0.32854897997431665
31,0.81,0.11,0.08,0.45198827853036255,0.16771723319439993,0.38029448827523754
32,0.7383333333333333,0.24166666666666667,0.02,0.6609936677337925,0.1597120107941131,0.1792943214720943
33,0.7263095238095238,0.2536904761904762,0.02,0.8339778887005147,0.0,0.16602211129948524
34,0.62,0.24,0.14,0.011333425538087995,0.0,0.9886665744619121
35,0.56,0.39,0.05,0.3405368863681978,0.47492540398568506,0.1845377096461173
