,model_raise,model_check,model_fold,mcts_raise,mcts_check,mcts_fold
0,0.51,0.44,0.05,0.33463935052306554,0.3355455079114537,0.32981514156548064
1,0.46,0.47,0.07,0.33423921027720616,0.33345475147309306,0.3323060382497008
2,0.58,0.36,0.06,0.30815176122688087,0.3895516226978646,0.3022966160752545
3,0.39916666666666667,0.4308333333333333,0.17,0.38335231558039917,0.31341283387644864,0.3032348505431521
4,0.39916666666666667,0.4308333333333333,0.17,0.22387395986787545,0.5455482094432113,0.23057783068891322
5,0.546,0.4,0.054000000000000006,0.5350448171816509,0.0,0.46495518281834913
6,0.42,0.55,0.03,0.7163710163506204,0.0,0.2836289836493796
7,0.5983333333333334,0.3916666666666667,0.01,0.0,0.0,0.0
8,0.53,0.35,0.12,0.36907891212689486,0.32089054125769284,0.3100305466154122
9,0.79,0.14,0.07,0.21848243273080428,0.20497815664751692,0.5765394106216788
10,0.52,0.48,0.0,0.36204483887450223,0.32861537469231933,0.30933978643317855
11,0.8,0.16,0.04,0.3875600568140344,0.35466158171276846,0.25777836147319716
12,0.78,0.22,0.0,0.15596587853573718,0.15341120813673584,0.690622913327527
13,0.5,0.46,0.04,0.29553326518673306,0.41492240889906473,0.28954432591420215
14,0.526,0.414,0.06,0.3942979911757039,0.29522035205788205,0.3104816567664141
15,0.29433333333333334,0.5456666666666667,0.16,0.26580917910237895,0.5391034446366975,0.1950873762609235
16,0.56,0.4,0.04,0.7247765079807137,0.0,0.2752234920192862
17,0.59,0.33,0.08,0.5961828301735022,0.0,0.40381716982649785
18,0.33,0.59,0.08,0.0,0.0,0.0
19,0.27,0.65,0.08,0.0,0.0,0.0
20,0.42,0.5,0.08,0.0,1.0,0.0
21,0.55,0.43,0.02,0.11974086518894392,0.1242722907904739,0.7559868440205821
22,0.54,0.34,0.12,0.30076571330264595,0.40679089927426965,0.29244338742308446
23,0.7609999999999999,0.209,0.03,0.569157778937203,0.2150951244227115,0.21574709664008568
24,0.6293333333333334,0.37066666666666664,0.0,0.10740791219592727,0.13392257215299164,0.7586695156510812
25,0.55,0.33,0.12,0.32404768495351843,0.48100401020677547,0.194948304839706
26,0.6,0.305,0.095,0.3143693854959728,0.36535449492479066,0.3202761195792365
27,0.56,0.32,0.12,0.3157905395529304,0.3533488150958918,0.3308606453511778
28,0.59,0.35,0.06,0.44884576953073535,0.28274511700009275,0.26840911346917173
29,0.8578571428571429,0.08214285714285713,0.06,0.39324739721528373,0.31645930213953644,0.2902933006451799
30,0.7733333333333334,0.19666666666666666,0.03,0.1606508388452117,0.14809617522767038,0.6912529859271179
31,0.49,0.51,0.0,0.21377125705671207,0.5761784939867128,0.21005024895657515
32,0.56,0.43,0.01,0.2876307562081589,0.4197661466477244,0.29260309714411675
33,0.76,0.23,0.01,1.0,0.0,0.0
34,0.62,0.38,0.0,0.0,1.0,0.0
35,0.53,0.47,0.0,0.0,1.0,0.0
36,0.52,0.48,0.0,0.0,1.0,0.0
37,0.54,0.33,0.13,0.08812460627737254,0.08888952358127607,0.8229858701413514
38,0.5833333333333334,0.36666666666666664,0.05,0.3250387895156077,0.4430355305019045,0.2319256799824878
39,0.7801960784313725,0.20980392156862746,0.01,0.6661401559695813,0.0,0.3338598440304186
40,0.75,0.24,0.01,0.0,0.0,1.0
41,0.54,0.34,0.12,0.4345112718235016,0.2854461460634738,0.2800425821130247
42,0.73,0.26,0.01,0.33270025632749645,0.3491070959484913,0.31819264772401235
43,0.87,0.1,0.03,0.30161210282722706,0.44025274682327414,0.2581351503494988
44,0.7191666666666666,0.2808333333333333,0.0,0.0,1.0,0.0
45,0.63,0.36,0.01,0.0,0.0,0.0
46,0.64,0.35,0.01,0.0,0.0,0.0
47,0.56,0.39,0.05,0.2257635646599766,0.19776766206420612,0.5764687732758171
48,0.54,0.39,0.07,0.18033340534904227,0.17258654630463818,0.6470800483463196
49,0.51,0.38,0.11,0.14969654415498138,0.12309561108308303,0.7272078447619357
50,0.54,0.39,0.07,0.2990310839338305,0.43921606673256025,0.26175284933360926
51,0.40333333333333327,0.4766666666666666,0.12,0.36531532684619594,0.33537008280904657,0.2993145903447575
52,0.6773809523809524,0.25261904761904763,0.07,0.34652873023836617,0.41761550500542394,0.23585576475620984
53,0.8328571428571427,0.15428571428571428,0.012857142857142855,0.2808156833107231,0.4421903101227554,0.2769940065665215
54,0.7366666666666666,0.23333333333333336,0.03,0.37707162063354444,0.36842499840594867,0.254503380960507
55,0.76,0.24,0.0,0.09997124077338004,0.06808926056481765,0.8319394986618023
56,0.57,0.365,0.065,0.3307034872081317,0.3404012061998033,0.32889530659206495
57,0.52,0.37,0.11,0.24523683991469666,0.5407924407900738,0.21397071929522962
58,0.51,0.39,0.1,0.14010420940797072,0.1354570756136338,0.7244387149783953
59,0.52,0.48,0.0,0.3614037973834977,0.30945044297514124,0.32914575964136106
60,0.47,0.48,0.05,0.20277775980821391,0.19418536157044716,0.6030368786213389
61,0.58,0.42,0.0,0.0,0.6478965724260655,0.35210342757393465
62,0.6575,0.3225,0.02,0.5119380918732348,0.3021248173150113,0.18593709081175386
63,0.56,0.39,0.05,0.32504926936709755,0.3929395044291706,0.2820112262037319
64,0.6966666666666665,0.2733333333333333,0.03,0.3354903937111526,0.3472142047135008,0.3172954015753467
65,0.79,0.17,0.04,0.3337836103420612,0.32940071251864805,0.3368156771392907
66,0.71,0.26,0.03,0.5621942235405768,0.2043273886338987,0.2334783878255246
67,0.55,0.45,0.0,0.14126180222929463,0.14052718083638813,0.7182110169343172
68,0.72,0.28,0.0,0.23779828725387098,0.22396939448017167,0.5382323182659573
69,0.555,0.405,0.04,0.37850901492855593,0.3223219367380744,0.29916904833336966
70,0.55,0.35,0.1,0.23096869828624494,0.25382264107378133,0.5152086606399736
71,0.5,0.5,0.0,0.15808192585502265,0.15199907218579903,0.6899190019591782
72,0.5033333333333334,0.3866666666666667,0.11,0.2883993544316366,0.29170819414283256,0.4198924514255308
73,0.55,0.37,0.08,0.3134837132071386,0.3051839726304427,0.3813323141624187
74,0.49,0.51,0.0,0.4908028532719413,0.2556144251772313,0.2535827215508275
75,0.65,0.32,0.03,0.3914761086028608,0.2927227701018416,0.31580112129529764
76,0.7816666666666666,0.18833333333333335,0.03,0.2608309575188513,0.39564672356304353,0.3435223189181051
77,0.5291666666666667,0.39083333333333337,0.08,0.18356897252705734,0.18236825145546173,0.6340627760174808
78,0.53,0.39,0.08,0.22964548256870634,0.22656075409751797,0.5437937633337755
79,0.74,0.22,0.04,0.2519036288883594,0.21698493885856804,0.5311114322530724
80,0.82,0.17,0.01,0.23576109790233354,0.5237769587514398,0.24046194334622664
81,0.5266666666666667,0.34333333333333327,0.13,0.3196989278594724,0.4308557374359152,0.24944533470461236
82,0.57,0.38,0.05,0.21451427507502613,0.21145251106108454,0.5740332138638893
83,0.44,0.51,0.05,0.3869972203341958,0.31466170634721685,0.29834107331858734
84,0.83,0.11,0.06,0.2178295417536527,0.21283010325324,0.5693403549931073
85,0.47833333333333333,0.41166666666666674,0.11,0.3655906470506021,0.3197956248610557,0.3146137280883421
86,0.55,0.3436666666666667,0.10633333333333335,0.39358769207031263,0.2901652690250202,0.31624703890466727
87,0.6733333333333333,0.32666666666666666,0.0,0.3049071876453928,0.30764418001770116,0.38744863233690596
88,0.73,0.24,0.03,0.40209891737724046,0.35430677199102073,0.2435943106317387
89,0.9,0.1,0.0,0.46054457605077426,0.3019843310775309,0.23747109287169496
90,0.7659999999999999,0.214,0.02,0.07887753901775553,0.0,0.9211224609822445
91,0.54,0.34,0.12,0.07855251947271788,0.07920086808288623,0.8422466124443959
92,0.51,0.31,0.18,0.47263090677988395,0.29770898228816545,0.2296601109319506
93,0.8,0.15,0.05,0.3905148523249118,0.37541698366273496,0.23406816401235328
94,0.69,0.31,0.0,0.49408486343597485,0.2994185643101154,0.20649657225390985
95,0.71,0.29,0.0,0.16525337630380954,0.14316577608339945,0.691580847612791
96,0.7366666666666666,0.2333333333333333,0.03,0.4194369114806289,0.29601899587083313,0.2845440926485379
97,0.7466666666666667,0.2533333333333333,0.0,0.42332377710476643,0.2882804674521396,0.28839575544309387
98,0.545,0.445,0.01,0.4890630392158303,0.5109369607841696,0.0
99,0.59,0.37,0.04,0.33022327900611853,0.34530547282840357,0.32447124816547795
100,0.8225,0.1475,0.03,0.1687567003737213,0.16388427512648576,0.6673590244997929
101,0.76,0.24,0.0,0.30186871339710736,0.43153330195835726,0.26659798464453544
102,0.59,0.29600000000000004,0.114,0.43024187161813954,0.29268318681392147,0.27707494156793905
103,0.33,0.46,0.21,0.23867257432735361,0.5382671342123939,0.22306029146025252
104,0.67,0.33,0.0,0.7048802860906934,0.0,0.29511971390930647
105,0.54,0.45,0.01,0.01582691508977437,0.0,0.9841730849102256
106,0.565,0.37,0.065,0.19385739341648406,0.1781252371565261,0.6280173694269898
107,0.65,0.29100000000000004,0.059000000000000004,0.41906652114113546,0.42172287978024575,0.15921059907861884
108,0.5,0.38,0.12,0.3570453663037866,0.34543827147515854,0.2975163622210547
109,0.78,0.16,0.06,0.48554340637388343,0.2714368824089104,0.24301971121720609
110,0.8225,0.1475,0.03,0.3501818461206869,0.3306963837980986,0.31912177008121445
111,0.72,0.25,0.03,0.3019124871305522,0.39978254267675867,0.29830497019268915
112,0.7366666666666666,0.23333333333333336,0.03,0.4212251416677124,0.3171966479615184,0.2615782103707693
113,0.65,0.35,0.0,0.20965677965612514,0.2735602710647278,0.516782949279147
114,0.5133333333333333,0.3866666666666667,0.1,0.5376346200532518,0.22914709787651,0.23321828207023823
115,0.39,0.45,0.16,0.21718155105615647,0.5890280234958561,0.19379042544798752
116,0.51,0.43,0.06,0.04398206013752496,0.0,0.9560179398624751
117,0.76,0.24,0.0,0.2669626013820281,0.4613912891014884,0.2716461095164834
118,0.7366666666666666,0.2333333333333333,0.03,0.17689319011679697,0.17442535400873682,0.6486814558744661
119,0.79,0.18,0.03,0.20945217701734478,0.20680801852599887,0.5837398044566564
120,0.56,0.44,0.0,0.6860855416509167,0.0,0.3139144583490833
121,0.83,0.1,0.07,0.4474903880138879,0.31575778815702454,0.2367518238290876
122,0.78,0.22,0.0,0.16025772819994158,0.16285460196289586,0.6768876698371625
123,0.6816666666666668,0.28833333333333333,0.03,0.3899199669971166,0.37882808553625025,0.2312519474666331
124,0.7975,0.2025,0.0,0.16100036917503893,0.1986133223722031,0.6403863084527579
125,0.5283333333333333,0.3916666666666667,0.08,0.4179729348944662,0.28588462905597434,0.2961424360495595
126,0.7533333333333333,0.24666666666666667,0.0,0.3110081315311072,0.3705613286320463,0.31843053983684644
127,0.58,0.37,0.05,0.464917065605538,0.2672529294993898,0.2678300048950721
128,0.495,0.465,0.04,0.3046825367214054,0.38306595408028754,0.3122515091983071
129,0.58,0.42,0.0,0.43259850874418787,0.3167166996121756,0.25068479164363655
130,0.4729761904761905,0.4670238095238095,0.06,0.13722946064317704,0.13639902608168422,0.7263715132751388
131,0.54,0.365,0.095,0.30509595257683986,0.4322629601869541,0.26264108723620616
132,0.59,0.35,0.06,0.3709006517833106,0.32484799523350405,0.3042513529831854
133,0.77,0.18,0.05,0.28947298847985165,0.4189263425738152,0.29160066894633313
134,0.59,0.37,0.04,0.45503046840040395,0.2783510840088862,0.2666184475907098
135,0.52,0.35,0.13,0.07994168952979183,0.08053100369658342,0.8395273067736249
136,0.54,0.33,0.13,0.13211373372539878,0.1298019647029634,0.738084301571638
137,0.48333333333333334,0.40666666666666673,0.11,0.3513004743195961,0.3229468755816505,0.3257526500987535
138,0.77,0.18,0.05,0.3715110796233152,0.3208084068088437,0.30768051356784115
139,0.8405,0.124,0.0355,0.39893273568783383,0.3119115956391863,0.28915566867297987
140,0.7130000000000001,0.139,0.14800000000000002,0.0,0.16580234126951832,0.8341976587304817
141,0.48,0.4,0.12,0.0,0.6394766680082906,0.3605233319917095
142,0.9,0.06,0.04,0.5595754719134611,0.22404592693198522,0.21637860115455365
143,0.7666666666666666,0.22333333333333333,0.01,0.4035882689623081,0.2818723269785776,0.3145394040591143
144,0.7,0.29,0.01,0.0,1.0,0.0
145,0.72,0.27,0.01,0.0,1.0,0.0
146,0.54,0.46,0.0,0.0,0.0,0.0
147,0.51,0.49,0.0,0.0,0.0,0.0
148,0.46,0.48,0.06,0.3285042106991947,0.34302831168837344,0.328467477612432
149,0.6296904761904762,0.3003095238095238,0.07,0.30300372677240994,0.4292290067116553,0.2677672665159347
150,0.6966666666666668,0.29333333333333333,0.01,0.48034774248724416,0.5196522575127559,0.0
151,0.6,0.38,0.02,0.0,0.0,0.0
152,0.7666666666666666,0.2333333333333333,0.0,0.0,1.0,0.0
153,0.46,0.47,0.07,0.4346563657302713,0.25826808095657267,0.3070755533131561
154,0.7366666666666666,0.24333333333333332,0.02,0.35331298703858344,0.3329410611085009,0.3137459518529155
155,0.66,0.34,0.0,0.3652274967750993,0.296891068269302,0.3378814349555987
156,0.715,0.265,0.02,0.05536502458635392,0.05124796442089702,0.8933870109927491
157,0.49,0.44,0.07,0.14429887032976335,0.13563240374798996,0.7200687259222466
158,0.54,0.365,0.095,0.4056927578918699,0.2943598752669142,0.299947366841216
159,0.44,0.53,0.03,0.21353532159757851,0.21190733248125934,0.5745573459211623
160,0.5033333333333334,0.3866666666666667,0.11,0.18423534237366573,0.18524903223065897,0.6305156253956753
161,0.46,0.48,0.06,0.32162934220511746,0.4577715911072556,0.22059906668762702
162,0.57,0.38,0.05,0.3599700870398145,0.31711968639601734,0.32291022656416823
163,0.76,0.21,0.03,0.2249314069325665,0.5532930794298029,0.22177551363763057
164,0.8733333333333333,0.09666666666666666,0.03,0.20193361576838398,0.2035755972061276,0.5944907870254883
165,0.6816666666666668,0.28833333333333333,0.03,0.4869879529029068,0.2415005654601961,0.27151148163689703
166,0.81,0.15,0.04,0.3611680749640189,0.32091416568892317,0.31791775934705796
167,0.79,0.21,0.0,0.1743968157479362,0.17976343884515278,0.6458397454069109
168,0.8,0.17,0.03,0.40008727530296045,0.2707604314210381,0.3291522932760015
169,0.785,0.215,0.0,0.07658489105103804,0.10235866237820743,0.8210564465707546
170,0.58,0.37,0.05,0.3379843687010639,0.34994219012551503,0.3120734411734211
171,0.78,0.22,0.0,0.434153218373915,0.2826926368088947,0.2831541448171903
172,0.7433333333333334,0.25666666666666665,0.0,0.24410527665288842,0.4905929626763129,0.2653017606707987
